,rs/n,n,#of0rel,#of1rel,#of0.5rel,pof0rel,pof1rel,pof0.5rel,cs/n,#of0,#of1,#of0.5,pof0,pof1,pof0.5,section
16,0.01694915254237288,59,58,1,0,0.9830508474576272,0.01694915254237288,0.0,0.03389830508474576,57,2,0,0.9661016949152542,0.03389830508474576,0.0,4.12
17,0.2894736842105263,19,13,5,1,0.6842105263157895,0.2631578947368421,0.05263157894736842,0.2894736842105263,13,5,1,0.6842105263157895,0.2631578947368421,0.05263157894736842,4.13
18,0.6785714285714286,14,3,8,3,0.21428571428571427,0.5714285714285714,0.21428571428571427,0.21428571428571427,10,2,2,0.7142857142857143,0.14285714285714285,0.14285714285714285,4.15
19,0.21153846153846154,26,20,5,1,0.7692307692307693,0.19230769230769232,0.038461538461538464,0.1346153846153846,21,2,3,0.8076923076923077,0.07692307692307693,0.11538461538461539,4.17
20,0.06666666666666667,30,28,2,0,0.9333333333333333,0.06666666666666667,0.0,0.03333333333333333,29,1,0,0.9666666666666667,0.03333333333333333,0.0,4.18
21,0.15789473684210525,19,16,3,0,0.8421052631578947,0.15789473684210525,0.0,0.34210526315789475,12,6,1,0.631578947368421,0.3157894736842105,0.05263157894736842,4.21
22,0.8888888888888888,9,0,7,2,0.0,0.7777777777777778,0.2222222222222222,0.4444444444444444,4,3,2,0.4444444444444444,0.3333333333333333,0.2222222222222222,4.22
23,0.75,8,2,6,0,0.25,0.75,0.0,0.4375,4,3,1,0.5,0.375,0.125,4.23.2
24,0.75,8,2,6,0,0.25,0.75,0.0,0.625,3,5,0,0.375,0.625,0.0,4.23.4
25,0.0,9,9,0,0,1.0,0.0,0.0,0.0,9,0,0,1.0,0.0,0.0,4.23.5
26,1.0,7,0,7,0,0.0,1.0,0.0,0.42857142857142855,4,3,0,0.5714285714285714,0.42857142857142855,0.0,4.23.6
27,0.875,8,1,7,0,0.125,0.875,0.0,0.4375,4,3,1,0.5,0.375,0.125,4.23.7
28,0.07692307692307693,13,12,1,0,0.9230769230769231,0.07692307692307693,0.0,0.0,13,0,0,1.0,0.0,0.0,4.23.9
29,0.7142857142857143,7,2,5,0,0.2857142857142857,0.7142857142857143,0.0,0.35714285714285715,4,2,1,0.5714285714285714,0.2857142857142857,0.14285714285714285,4.23.10
30,0.0,8,8,0,0,1.0,0.0,0.0,0.0,8,0,0,1.0,0.0,0.0,4.23.11
31,0.42857142857142855,7,4,3,0,0.5714285714285714,0.42857142857142855,0.0,0.21428571428571427,5,1,1,0.7142857142857143,0.14285714285714285,0.14285714285714285,4.23.13
32,0.005434782608695652,92,91,0,1,0.9891304347826086,0.0,0.010869565217391304,0.2608695652173913,65,21,6,0.7065217391304348,0.22826086956521738,0.06521739130434782,6
33,0.2602739726027397,73,53,18,2,0.726027397260274,0.2465753424657534,0.0273972602739726,0.3493150684931507,46,24,3,0.6301369863013698,0.3287671232876712,0.0410958904109589,7
34,0.5263157894736842,38,18,20,0,0.47368421052631576,0.5263157894736842,0.0,0.4473684210526316,21,17,0,0.5526315789473685,0.4473684210526316,0.0,8.1
35,0.7777777777777778,9,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0.7777777777777778,1,6,2,0.1111111111111111,0.6666666666666666,0.2222222222222222,8.3
36,0.20149253731343283,67,53,13,1,0.7910447761194029,0.19402985074626866,0.014925373134328358,0.12686567164179105,58,8,1,0.8656716417910447,0.11940298507462686,0.014925373134328358,8.4
